aspect,id,sentiment,target,text
general,473.0,Positive,LOCATION1,I 've lived in the LOCATION1 for years and I love it - I would n't want to live anywhere else
quiet,474.0,Positive,LOCATION1,"LOCATION1 is a very wealthy area in Central London , but regardless of that , its a residential area nontheless , so you will get quite a few quiet roads"
transit-location,474.0,Positive,LOCATION1,"LOCATION1 is a very wealthy area in Central London , but regardless of that , its a residential area nontheless , so you will get quite a few quiet roads"
price,474.0,Negative,LOCATION1,"LOCATION1 is a very wealthy area in Central London , but regardless of that , its a residential area nontheless , so you will get quite a few quiet roads"
transit-location,475.0,Positive,LOCATION1,LOCATION1 Located in Zone 2 and quite centralised when it comes to working in the London but has a known reputation which will make grown men avoid that area at all times of the day
general,475.0,Negative,LOCATION1,LOCATION1 Located in Zone 2 and quite centralised when it comes to working in the London but has a known reputation which will make grown men avoid that area at all times of the day
general,476.0,Negative,LOCATION1,write your address in google postal code LOCATION1 is not very nice
safety,480.0,Negative,LOCATION1,It is true that there are some very rough areas not too far away LOCATION1 in particular is notorious
general,480.0,Negative,LOCATION1,It is true that there are some very rough areas not too far away LOCATION1 in particular is notorious
price,482.0,Positive,LOCATION1,"best thing to do is go to several places you like , LOCATION1 is relatively cheaper"
shopping,482.0,Positive,LOCATION1,"best thing to do is go to several places you like , LOCATION1 is relatively cheaper"
touristy,482.0,Positive,LOCATION1,"best thing to do is go to several places you like , LOCATION1 is relatively cheaper"
transit-location,484.0,Positive,LOCATION1,"LOCATION1 is in West London , with really good transport links to the centre"
quiet,484.0,Positive,LOCATION1,"LOCATION1 is in West London , with really good transport links to the centre"
shopping,484.0,Positive,LOCATION1,"LOCATION1 is in West London , with really good transport links to the centre"
touristy,484.0,Positive,LOCATION1,"LOCATION1 is in West London , with really good transport links to the centre"
general,487.0,Positive,LOCATION1,LOCATION1 is over rated but nice
transit-location,488.0,Positive,LOCATION1,An additional point : LOCATION1 tube station is a great one to be near
general,490.0,Positive,LOCATION1,LOCATION1 in LOCATION1 is lovely
safety,491.0,Negative,LOCATION1,WOuldnt touch LOCATION1 though very rough indeed
price,494.0,Positive,LOCATION1,I hear that under LOCATION1 is quite cheap
shopping,494.0,Positive,LOCATION1,I hear that under LOCATION1 is quite cheap
touristy,494.0,Positive,LOCATION1,I hear that under LOCATION1 is quite cheap
price,495.0,Positive,LOCATION1,"Then I would say , go for LOCATION1 , save some cash"
general,495.0,Positive,LOCATION1,"Then I would say , go for LOCATION1 , save some cash"
safety,499.0,Negative,LOCATION1,"If you do n't like 'Dangerous ' places , I really recommend not moving to LOCATION1"
general,499.0,Negative,LOCATION1,"If you do n't like 'Dangerous ' places , I really recommend not moving to LOCATION1"
general,504.0,Positive,LOCATION1,"If I had the dough , I 'd opt for LOCATION1 , ( where me girlfriend comes from )"
price,505.0,Positive,LOCATION1,also depends on what kinda prperty you want LOCATION1 is a comparatively cheap place
shopping,505.0,Positive,LOCATION1,also depends on what kinda prperty you want LOCATION1 is a comparatively cheap place
touristy,505.0,Positive,LOCATION1,also depends on what kinda prperty you want LOCATION1 is a comparatively cheap place
general,506.0,Positive,LOCATION1,"LOCATION1 is quite nice , on the central line"
transit-location,506.0,Positive,LOCATION1,"LOCATION1 is quite nice , on the central line"
safety,508.0,Positive,LOCATION1,"The site shows that the higher crime rates are in the centre of London , however this does not give the crime rate per 1000 population and central London has the greatest Basically , LOCATION1 is quite safe on the whole , your main concern should be pick-pockets , but in 20 years living here I have never had a problem"
transit-location,508.0,Positive,LOCATION1,"The site shows that the higher crime rates are in the centre of London , however this does not give the crime rate per 1000 population and central London has the greatest Basically , LOCATION1 is quite safe on the whole , your main concern should be pick-pockets , but in 20 years living here I have never had a problem"
general,512.0,Negative,LOCATION1,"LOCATION1 is not pretty , but you ca n't move there if you are not an EU citizen"
transit-location,513.0,Positive,LOCATION1,LOCATION1 W1 . It is the hub of London providing most everything a body would ever need or want
touristy,517.0,Positive,LOCATION1,"If you want to live in the middle of it all then somewhere like the docklands is good , especially LOCATION1 , which is very touristy"
transit-location,518.0,Positive,LOCATION1,"You might also want to consider LOCATION1 - it 's on the Piccadilly Line , it 's a nicer area It depends"
general,518.0,Positive,LOCATION1,"You might also want to consider LOCATION1 - it 's on the Piccadilly Line , it 's a nicer area It depends"
transit-location,519.0,Positive,LOCATION1,AND the trains to London are fast from LOCATION1
price,520.0,Negative,LOCATION1,"Please , LOCATION1 is not the most luxurious place , but it does not have riots every week"
shopping,520.0,Negative,LOCATION1,"Please , LOCATION1 is not the most luxurious place , but it does not have riots every week"
dining,520.0,Negative,LOCATION1,"Please , LOCATION1 is not the most luxurious place , but it does not have riots every week"
general,521.0,Negative,LOCATION1,LOCATION1 is a very modern featureless upmarket development interspersed with run down areas and is not a great place to live
live,521.0,Negative,LOCATION1,LOCATION1 is a very modern featureless upmarket development interspersed with run down areas and is not a great place to live
dining,521.0,Negative,LOCATION1,LOCATION1 is a very modern featureless upmarket development interspersed with run down areas and is not a great place to live
nightlife,521.0,Negative,LOCATION1,LOCATION1 is a very modern featureless upmarket development interspersed with run down areas and is not a great place to live
live,522.0,Positive,LOCATION1,"LOCATION1 area , more posh and a better quality of living than in LOCATION2"
price,522.0,Negative,LOCATION1,"LOCATION1 area , more posh and a better quality of living than in LOCATION2"
general,523.0,Positive,LOCATION1,"My mum lives in LOCATION1 , which is quite a nice , relatively safe area , and rents a gorgeous 1 bed flat for 650 per month"
safety,523.0,Positive,LOCATION1,"My mum lives in LOCATION1 , which is quite a nice , relatively safe area , and rents a gorgeous 1 bed flat for 650 per month"
safety,524.0,Positive,LOCATION1,"But the two areas you have mentioned LOCATION2 and LOCATION1 , depending on what parts you go to are no worse than other parts of London and in some ways are among the safer areas the Metropolis that is London"
safety,524.0,Positive,LOCATION1,"But the two areas you have mentioned LOCATION2 and LOCATION1 , depending on what parts you go to are no worse than other parts of London and in some ways are among the safer areas the Metropolis that is London"
general,525.0,Positive,LOCATION1,"by the 20s , LOCATION1 was a very bohemian area , w artists and actors"
general,526.0,Positive,LOCATION1,LOCATION1 aint that bad trust me
general,527.0,Negative,LOCATION1,LOCATION1 is dull I am looking to move to London soon but do not really know it that well
transit-location,528.0,Positive,LOCATION1,"I live in LOCATION1 , in a nice house and with 2 nice cars"
general,530.0,Positive,LOCATION1,Now I am a 16 year old living in LOCATION1 and I absolutly love it
safety,532.0,Negative,LOCATION1,"Do n't live in LOCATION1 , unless you want to mobed while doing your grocery shopping"
general,534.0,Positive,LOCATION1,South London wise : I would recommend somewhere like LOCATION1
general,535.0,Positive,LOCATION1,"That 's really tricky , because the LOCATION1 area is gorgeous , but so expensive to live in - most of us 'ordinary ' Londoners could n't even consider it"
price,535.0,Negative,LOCATION1,"That 's really tricky , because the LOCATION1 area is gorgeous , but so expensive to live in - most of us 'ordinary ' Londoners could n't even consider it"
price,536.0,Positive,LOCATION1,"I can see the LOCATION1 is full of new apartment blocks , close to LOCATION2 and links to the London , yet the rent is cheap"
transit-location,536.0,Positive,LOCATION1,"I can see the LOCATION1 is full of new apartment blocks , close to LOCATION2 and links to the London , yet the rent is cheap"
shopping,536.0,Positive,LOCATION1,"I can see the LOCATION1 is full of new apartment blocks , close to LOCATION2 and links to the London , yet the rent is cheap"
touristy,536.0,Positive,LOCATION1,"I can see the LOCATION1 is full of new apartment blocks , close to LOCATION2 and links to the London , yet the rent is cheap"
price,537.0,Negative,LOCATION1,"A little flat in LOCATION1 will be very nice , but will cost you a good deal of money"
general,537.0,Positive,LOCATION1,"A little flat in LOCATION1 will be very nice , but will cost you a good deal of money"
transit-location,538.0,Positive,LOCATION1,I can catch the tube into central London and back to LOCATION1
general,539.0,Positive,LOCATION1,"I would go for LOCATION1 , which has a 'villagey ' feel about it and ( from my experience ) is very safe and very attractive"
safety,539.0,Positive,LOCATION1,"I would go for LOCATION1 , which has a 'villagey ' feel about it and ( from my experience ) is very safe and very attractive"
general,540.0,Negative,LOCATION1,i would avoid LOCATION1 as the rates there can be almost just as expensive as Central London
price,540.0,Negative,LOCATION1,i would avoid LOCATION1 as the rates there can be almost just as expensive as Central London
transit-location,540.0,Negative,LOCATION1,i would avoid LOCATION1 as the rates there can be almost just as expensive as Central London
general,541.0,Positive,LOCATION1,"Personally I 'd opt for LOCATION1 , there are more people in your boat you can travel into LOCATION1 easily"
transit-location,541.0,Positive,LOCATION1,"Personally I 'd opt for LOCATION1 , there are more people in your boat you can travel into LOCATION1 easily"
transit-location,542.0,Positive,LOCATION1,You can get a bus from LOCATION2 to LOCATION1 corner in 15 minutes
quiet,543.0,Negative,LOCATION1,One of the nicest parts of LOCATION1 is LOCATION1 but the noise levels are really unbearable
general,543.0,Positive,LOCATION1,One of the nicest parts of LOCATION1 is LOCATION1 but the noise levels are really unbearable
price,545.0,Negative,LOCATION1,I dont have much money so I am obviously not going to be moving to LOCATION1
shopping,545.0,Negative,LOCATION1,I dont have much money so I am obviously not going to be moving to LOCATION1
touristy,545.0,Negative,LOCATION1,I dont have much money so I am obviously not going to be moving to LOCATION1
general,546.0,Positive,LOCATION1,LOCATION1 is very near LOCATION2 as well and I have heard good things about that area as well
shopping,547.0,Positive,LOCATION1,LOCATION1 is inexpensive and has good shopping and the restaurant quarter
price,547.0,Positive,LOCATION1,LOCATION1 is inexpensive and has good shopping and the restaurant quarter
touristy,547.0,Positive,LOCATION1,LOCATION1 is inexpensive and has good shopping and the restaurant quarter
price,550.0,Negative,LOCATION1,Well if you have bags of money you should like LOCATION1
transit-location,551.0,Positive,LOCATION1,"That 's about five miles north of central London , on the same tube line as St Pancras/ a bit further north than LOCATION1 Lock"
transit-location,552.0,Positive,LOCATION1,LOCATION1 airport has the quickest and best access to London using the Tube
general,553.0,Negative,LOCATION1,"Do n't go to LOCATION1 , I lived there for 3 years , it 's horrible"
transit-location,554.0,Positive,LOCATION1,There is quite a good train service from LOCATION1
transit-location,555.0,Positive,LOCATION1,"there is quiet a lot going on down in LOCATION1 and getting into town is easy as there are millions of buses along the high road to LOCATION1 tube , night buses and the overland rail links"
quiet,555.0,Positive,LOCATION1,"there is quiet a lot going on down in LOCATION1 and getting into town is easy as there are millions of buses along the high road to LOCATION1 tube , night buses and the overland rail links"
safety,556.0,Negative,LOCATION1,The dodgier part of LOCATION1 should be avoided
price,557.0,Positive,LOCATION1,anywhere down the M11 a14 corridor LOCATION1 is a good commute and more affordable
transit-location,557.0,Positive,LOCATION1,anywhere down the M11 a14 corridor LOCATION1 is a good commute and more affordable
shopping,557.0,Positive,LOCATION1,anywhere down the M11 a14 corridor LOCATION1 is a good commute and more affordable
dining,557.0,Positive,LOCATION1,anywhere down the M11 a14 corridor LOCATION1 is a good commute and more affordable
touristy,557.0,Positive,LOCATION1,anywhere down the M11 a14 corridor LOCATION1 is a good commute and more affordable
general,558.0,Positive,LOCATION1,I 've lived in LOCATION1 for long periods and would recommend it
general,560.0,Positive,LOCATION1,"I normally do n't go down those areas , LOCATION1 is far better and safer"
safety,560.0,Positive,LOCATION1,"I normally do n't go down those areas , LOCATION1 is far better and safer"
transit-location,561.0,Positive,LOCATION1,"LOCATION1 tube station is a good one if you work in the centre too , as it only takes about 15 minutes to get to Bond Street"
general,562.0,Positive,LOCATION1,I use to live in LOCATION1 and personally LOVED it
general,563.0,Positive,LOCATION1,"LOCATION1 and the areas close to LOCATION1 are really nice ( expensive , though )"
price,563.0,Negative,LOCATION1,"LOCATION1 and the areas close to LOCATION1 are really nice ( expensive , though )"
general,567.0,Positive,LOCATION1,If I were you I would try the LOCATION1 area
general,569.0,Positive,LOCATION1,LOCATION1 is a nice area
general,570.0,Positive,LOCATION1,"I definitely recommend LOCATION1 , it 's a lovely place"
green-nature,570.0,Positive,LOCATION1,"I definitely recommend LOCATION1 , it 's a lovely place"
general,571.0,Positive,LOCATION1,Somewhere like LOCATION1 has a very nice atmosphere
price,572.0,Negative,LOCATION1,LOCATION1 is nice but youd need to look around for a decent priced place to live Wherever they can afford to
general,572.0,Positive,LOCATION1,LOCATION1 is nice but youd need to look around for a decent priced place to live Wherever they can afford to
price,575.0,Negative,LOCATION1,"LOCATION1 also has a large , and quite wealthy , Korean population because several Korean companies have their London offices in the area"
general,576.0,Positive,LOCATION1,I think I 'd like to live in LOCATION1 because it 's a nice area with a village atmosphere on the Northern line so it 's easy to get to LOCATION1
general,576.0,Positive,LOCATION1,I think I 'd like to live in LOCATION1 because it 's a nice area with a village atmosphere on the Northern line so it 's easy to get to LOCATION1
transit-location,576.0,Positive,LOCATION1,I think I 'd like to live in LOCATION1 because it 's a nice area with a village atmosphere on the Northern line so it 's easy to get to LOCATION1
transit-location,577.0,Positive,LOCATION1,"LOCATION1 is on the London Underground , Piccadilly Line/Metropolitan Line"
general,578.0,Positive,LOCATION1,LOCATION1 is delightful
live,579.0,Positive,LOCATION1,"I live in LOCATION1 , and I love it Its quite central , without being in the middle of the London , and the rent is still quite reasonable"
price,579.0,Positive,LOCATION1,"I live in LOCATION1 , and I love it Its quite central , without being in the middle of the London , and the rent is still quite reasonable"
transit-location,579.0,Positive,LOCATION1,"I live in LOCATION1 , and I love it Its quite central , without being in the middle of the London , and the rent is still quite reasonable"
general,579.0,Positive,LOCATION1,"I live in LOCATION1 , and I love it Its quite central , without being in the middle of the London , and the rent is still quite reasonable"
quiet,579.0,Positive,LOCATION1,"I live in LOCATION1 , and I love it Its quite central , without being in the middle of the London , and the rent is still quite reasonable"
shopping,579.0,Positive,LOCATION1,"I live in LOCATION1 , and I love it Its quite central , without being in the middle of the London , and the rent is still quite reasonable"
touristy,579.0,Positive,LOCATION1,"I live in LOCATION1 , and I love it Its quite central , without being in the middle of the London , and the rent is still quite reasonable"
general,580.0,Positive,LOCATION1,"There are some nice parts to LOCATION1 , especially to the south , east and west"
safety,581.0,Positive,LOCATION1,LOCATION1 is safer
general,582.0,Positive,LOCATION1,Parts of LOCATION1 are very pretty too - on the Central Line
transit-location,582.0,Positive,LOCATION1,Parts of LOCATION1 are very pretty too - on the Central Line
shopping,582.0,Positive,LOCATION1,Parts of LOCATION1 are very pretty too - on the Central Line
price,583.0,Positive,LOCATION1,I would say to live in LOCATION1 as the rent is cheaper and the location is quite close to the central London
transit-location,583.0,Positive,LOCATION1,I would say to live in LOCATION1 as the rent is cheaper and the location is quite close to the central London
shopping,583.0,Positive,LOCATION1,I would say to live in LOCATION1 as the rent is cheaper and the location is quite close to the central London
touristy,583.0,Positive,LOCATION1,I would say to live in LOCATION1 as the rent is cheaper and the location is quite close to the central London
general,586.0,Positive,LOCATION1,"The LOCATION1 area itself is nice as well , with a big grocery store within a few minutes walk and lots of little cafes ; there 's a fantastic cheese shop right around the corner from you too"
safety,589.0,Negative,LOCATION1,LOCATION1 itself is fine during the day but I would make sure you do n't hang around at night as it can be a little scary
general,589.0,Positive,LOCATION1,LOCATION1 itself is fine during the day but I would make sure you do n't hang around at night as it can be a little scary
price,590.0,Negative,LOCATION1,"The nicer bits , like LOCATION1 are very expensive"
transit-location,592.0,Negative,LOCATION1,"I also Lived in LOCATION1 for a while , which is a really nice area , but you had to get a bus to the tube station , which was a pain"
general,592.0,Positive,LOCATION1,"I also Lived in LOCATION1 for a while , which is a really nice area , but you had to get a bus to the tube station , which was a pain"
safety,593.0,Negative,LOCATION1,LOCATION1 has good access to London via trains and busses but be warned its not the safest of places so dont go round flashing ya cash or your mobile phones e
transit-location,593.0,Positive,LOCATION1,LOCATION1 has good access to London via trains and busses but be warned its not the safest of places so dont go round flashing ya cash or your mobile phones e
touristy,593.0,Positive,LOCATION1,LOCATION1 has good access to London via trains and busses but be warned its not the safest of places so dont go round flashing ya cash or your mobile phones e
general,595.0,Positive,LOCATION1,LOCATION1 is OK too who knows where is safe nowdays
safety,595.0,Positive,LOCATION1,LOCATION1 is OK too who knows where is safe nowdays
general,599.0,Positive,LOCATION1,"I like LOCATION1 , but it 's not for everyone"
general,600.0,Negative,LOCATION1,theres a couple good places in LOCATION1 but not great
general,604.0,Positive,LOCATION1,"South of the river , look at LOCATION1"
general,605.0,Negative,LOCATION1,I would n't say the LOCATION1 is a hole like the other person did
general,606.0,Positive,LOCATION1,I like the suburbs because it has less crime and not as many people ( but still busy enough ) LOCATION1 which is in the outskirts of London is nice
safety,606.0,Positive,LOCATION1,I like the suburbs because it has less crime and not as many people ( but still busy enough ) LOCATION1 which is in the outskirts of London is nice
safety,607.0,Negative,LOCATION1,"LOCATION2 is probably the best area for going out ( LOCATION1 ) but living there , I would n't really recommend yet , it 's still a bit rough"
safety,607.0,Negative,LOCATION1,"LOCATION2 is probably the best area for going out ( LOCATION1 ) but living there , I would n't really recommend yet , it 's still a bit rough"
general,608.0,Positive,LOCATION1,LOCATION1 has quite a low council tax rate so might be your best bet
price,608.0,Positive,LOCATION1,LOCATION1 has quite a low council tax rate so might be your best bet
transit-location,609.0,Positive,LOCATION1,LOCATION1 has a big bus station
safety,611.0,Negative,LOCATION1,LOCATION1 is a s t hole stay clear unless your a drug dealer or addict I moved from there only 9 months ago and never looked back
transit-location,614.0,Positive,LOCATION1,If I had the choice I would live just north of LOCATION1 which has some very nice areas and also has easy access to LOCATION2
general,614.0,Positive,LOCATION1,If I had the choice I would live just north of LOCATION1 which has some very nice areas and also has easy access to LOCATION2
quiet,614.0,Positive,LOCATION1,If I had the choice I would live just north of LOCATION1 which has some very nice areas and also has easy access to LOCATION2
shopping,614.0,Positive,LOCATION1,If I had the choice I would live just north of LOCATION1 which has some very nice areas and also has easy access to LOCATION2
touristy,614.0,Positive,LOCATION1,If I had the choice I would live just north of LOCATION1 which has some very nice areas and also has easy access to LOCATION2
safety,615.0,Negative,LOCATION1,I have a friend that wants me to go there and visit but being a Caucasian male i am dubious Does LOCATION1 or LOCATION2 have problems with violence
safety,615.0,Negative,LOCATION1,I have a friend that wants me to go there and visit but being a Caucasian male i am dubious Does LOCATION1 or LOCATION2 have problems with violence
transit-location,617.0,Positive,LOCATION1,"I 've stayed near LOCATION1 and it 's wonderfulclose to the center of town , extraordinarily pleasant to wander around at night , etc"
quiet,617.0,Positive,LOCATION1,"I 've stayed near LOCATION1 and it 's wonderfulclose to the center of town , extraordinarily pleasant to wander around at night , etc"
general,618.0,Positive,LOCATION1,LOCATION1 is marvellous
general,619.0,Positive,LOCATION1,LOCATION1 especially has become VERY trendy and cool in the last few years
general,620.0,Negative,LOCATION1,For christ 's sake do not move to LOCATION1
general,622.0,Positive,LOCATION1,i would maybe look around the LOCATION1 area
general,623.0,Negative,LOCATION1,I 've recently moved away from LOCATION1 and miss it like you would n't believe
general,625.0,Negative,LOCATION1,Last year i lived in LOCATION1 and it was pretty rubbish
safety,626.0,Negative,LOCATION1,"Lots of stabbings , fights , gangs On the main road on LOCATION1 road"
general,627.0,Negative,LOCATION1,LOCATION1 is an armpit full of chavs
transit-location,629.0,Positive,LOCATION1,LOCATION1 also has great transport links to the centre of London and the London There 's not really a class divide in areas of London - you will find the very rich and the very poor living very close together
price,629.0,Positive,LOCATION1,LOCATION1 also has great transport links to the centre of London and the London There 's not really a class divide in areas of London - you will find the very rich and the very poor living very close together
quiet,629.0,Positive,LOCATION1,LOCATION1 also has great transport links to the centre of London and the London There 's not really a class divide in areas of London - you will find the very rich and the very poor living very close together
shopping,629.0,Positive,LOCATION1,LOCATION1 also has great transport links to the centre of London and the London There 's not really a class divide in areas of London - you will find the very rich and the very poor living very close together
multicultural,629.0,Positive,LOCATION1,LOCATION1 also has great transport links to the centre of London and the London There 's not really a class divide in areas of London - you will find the very rich and the very poor living very close together
touristy,629.0,Positive,LOCATION1,LOCATION1 also has great transport links to the centre of London and the London There 's not really a class divide in areas of London - you will find the very rich and the very poor living very close together
transit-location,631.0,Positive,LOCATION1,To start with LOCATION1 is the place from where you will have an easy access to central London
quiet,631.0,Positive,LOCATION1,To start with LOCATION1 is the place from where you will have an easy access to central London
shopping,631.0,Positive,LOCATION1,To start with LOCATION1 is the place from where you will have an easy access to central London
touristy,631.0,Positive,LOCATION1,To start with LOCATION1 is the place from where you will have an easy access to central London
transit-location,633.0,Positive,LOCATION1,LOCATION1 is a similar walking distance away
safety,634.0,Negative,LOCATION1,"LOCATION1 , because there is a large amount of dangerous gangs there"
general,636.0,Positive,LOCATION1,despite being out of the London there will be plenty of trains to commute to work LOCATION1 LOCATION1 Village is very upmarket and many artists live there
transit-location,636.0,Negative,LOCATION1,despite being out of the London there will be plenty of trains to commute to work LOCATION1 LOCATION1 Village is very upmarket and many artists live there
safety,637.0,Negative,LOCATION1,"LOCATION1 is a bit rough round the edges , but use your common sense and do n't flash your expensive belongings around the council estates late at night and you will be fine Well , you could say it gets dangerously full of drunken students on Friday and Saturday night but apart from that it is no more dangerous than any other part of London"
price,637.0,Negative,LOCATION1,"LOCATION1 is a bit rough round the edges , but use your common sense and do n't flash your expensive belongings around the council estates late at night and you will be fine Well , you could say it gets dangerously full of drunken students on Friday and Saturday night but apart from that it is no more dangerous than any other part of London"
general,638.0,Negative,LOCATION1,LOCATION1 is in a skank area
general,640.0,Positive,LOCATION1,"I 've found a place in LOCATION1 ( Belgrave Road for anyone who knows the area better ) I stayed there a few months ago and loved it , but whats this place like to live in day to day"
transit-location,641.0,Negative,LOCATION1,"rush hour traffic in LOCATION1 is AWFUL , id recommend leaving ur house to go to work BEFORE 7am"
general,643.0,Positive,LOCATION1,Aesthetically I would go for LOCATION1 - it has loads of lovely green space to walk on
green-nature,643.0,Positive,LOCATION1,Aesthetically I would go for LOCATION1 - it has loads of lovely green space to walk on
price,645.0,Negative,LOCATION1,LOCATION1 - lots of rich folk live around that area
price,647.0,Negative,LOCATION1,You need to be rich to live in some parts of LOCATION1
general,649.0,Positive,LOCATION1,LOCATION1 LOCATION1 is a great but expensive area
price,649.0,Negative,LOCATION1,LOCATION1 LOCATION1 is a great but expensive area
shopping,649.0,Negative,LOCATION1,LOCATION1 LOCATION1 is a great but expensive area
price,653.0,Negative,LOCATION1,"the highly paid jobs tend to be in the LOCATION1 ( with an average salary of around 100,000 )"
safety,654.0,Negative,LOCATION1,Avoid LOCATION1 to the south without a knife proof vest Thinking of moving to London
general,654.0,Negative,LOCATION1,Avoid LOCATION1 to the south without a knife proof vest Thinking of moving to London
general,656.0,Positive,LOCATION1,"I grew up in LOCATION1 , West London and I loved it"
general,657.0,Positive,LOCATION1,"If you mean in NW London , I would highly recommend LOCATION1"
general,660.0,Positive,LOCATION1,"LOCATION1 is nice too , but poorly serviced by public transport"
transit-location,660.0,Negative,LOCATION1,"LOCATION1 is nice too , but poorly serviced by public transport"
touristy,660.0,Negative,LOCATION1,"LOCATION1 is nice too , but poorly serviced by public transport"
general,661.0,Positive,LOCATION1,LOCATION1 is nice and not too far from your uni
transit-location,663.0,Positive,LOCATION1,Most areas of London are within 30/40 mins of LOCATION1 by tube
price,666.0,Negative,LOCATION1,"You can if you wear a wet suit LOCATION1 is OK if you want to live and work in London , as a low paid Social Worker for the rest of your life"
price,668.0,Positive,LOCATION1,the most cheapest area are the worst you should live LOCATION1
shopping,668.0,Positive,LOCATION1,the most cheapest area are the worst you should live LOCATION1
touristy,668.0,Negative,LOCATION1,the most cheapest area are the worst you should live LOCATION1
general,670.0,Positive,LOCATION1,"LOCATION1 is nicer , I think , despite it 's reputation"
transit-location,672.0,Positive,LOCATION1,"LOCATION1 is very nice and safe , its in zone 5 and it takes about 45 mins to get into central London"
safety,672.0,Positive,LOCATION1,"LOCATION1 is very nice and safe , its in zone 5 and it takes about 45 mins to get into central London"
general,672.0,Positive,LOCATION1,"LOCATION1 is very nice and safe , its in zone 5 and it takes about 45 mins to get into central London"
price,674.0,Negative,LOCATION1,The outskirts of London ( for example LOCATION1 in LOCATION2 ) are filled with pretty wealthy areas
price,674.0,Negative,LOCATION1,The outskirts of London ( for example LOCATION1 in LOCATION2 ) are filled with pretty wealthy areas
general,675.0,Positive,LOCATION1,I think out of all the places you mention LOCATION1 would be my choice
price,677.0,Negative,LOCATION1,"The posh areas like LOCATION1 , are far too noisy and busy"
quiet,677.0,Negative,LOCATION1,"The posh areas like LOCATION1 , are far too noisy and busy"
shopping,677.0,Negative,LOCATION1,"The posh areas like LOCATION1 , are far too noisy and busy"
safety,678.0,Negative,LOCATION1,That is a very rough area of LOCATION1
transit-location,679.0,Negative,LOCATION1,"If you were to look at your `` one hour '' limit in terms of time rather than distance , you can get a long way from LOCATION2 or LOCATION1 stations in an hour and live a bit further out"
transit-location,679.0,Negative,LOCATION1,"If you were to look at your `` one hour '' limit in terms of time rather than distance , you can get a long way from LOCATION2 or LOCATION1 stations in an hour and live a bit further out"
transit-location,681.0,Positive,LOCATION1,From LOCATION2 to LOCATION1 it is much the same route
safety,682.0,Negative,LOCATION1,"If it was the side closer to LOCATION1 , I would not accept as I know it can be dangerous there"
safety,683.0,Positive,LOCATION1,LOCATION1 tends to be quite safe
general,685.0,Positive,LOCATION1,Top end of LOCATION2 is just a few minutes walk from the lovely area that is LOCATION1 ( the Parliament Hill end )
general,685.0,Positive,LOCATION1,Top end of LOCATION2 is just a few minutes walk from the lovely area that is LOCATION1 ( the Parliament Hill end )
safety,686.0,Negative,LOCATION1,The only place where I 've felt a bit vulnerable is in LOCATION1 at night
general,687.0,Positive,LOCATION1,"LOCATION1 used to be really problematic , but is now better , and has decent tube / train links to most of South London"
transit-location,687.0,Positive,LOCATION1,"LOCATION1 used to be really problematic , but is now better , and has decent tube / train links to most of South London"
quiet,687.0,Positive,LOCATION1,"LOCATION1 used to be really problematic , but is now better , and has decent tube / train links to most of South London"
shopping,687.0,Positive,LOCATION1,"LOCATION1 used to be really problematic , but is now better , and has decent tube / train links to most of South London"
touristy,687.0,Positive,LOCATION1,"LOCATION1 used to be really problematic , but is now better , and has decent tube / train links to most of South London"
safety,688.0,Positive,LOCATION1,"LOCATION1 is safe enough , unless you are in the habit of wandering around late at night"
general,690.0,Positive,LOCATION1,LOCATION1 is not far from LOCATION1 and is a much safer and more attractive area
safety,690.0,Positive,LOCATION1,LOCATION1 is not far from LOCATION1 and is a much safer and more attractive area
transit-location,690.0,Positive,LOCATION1,LOCATION1 is not far from LOCATION1 and is a much safer and more attractive area
quiet,690.0,Positive,LOCATION1,LOCATION1 is not far from LOCATION1 and is a much safer and more attractive area
green-nature,690.0,Positive,LOCATION1,LOCATION1 is not far from LOCATION1 and is a much safer and more attractive area
general,695.0,Negative,LOCATION1,"Pretty safe area too Parts of LOCATION1 are less than lovely , especially around the Shopping London , however as you move backwards down Station Road towards the LOCATION2 some of it is quite nice , especially around the train station"
general,695.0,Negative,LOCATION1,"Pretty safe area too Parts of LOCATION1 are less than lovely , especially around the Shopping London , however as you move backwards down Station Road towards the LOCATION2 some of it is quite nice , especially around the train station"
safety,695.0,Negative,LOCATION1,"Pretty safe area too Parts of LOCATION1 are less than lovely , especially around the Shopping London , however as you move backwards down Station Road towards the LOCATION2 some of it is quite nice , especially around the train station"
transit-location,695.0,Negative,LOCATION1,"Pretty safe area too Parts of LOCATION1 are less than lovely , especially around the Shopping London , however as you move backwards down Station Road towards the LOCATION2 some of it is quite nice , especially around the train station"
safety,695.0,Negative,LOCATION1,"Pretty safe area too Parts of LOCATION1 are less than lovely , especially around the Shopping London , however as you move backwards down Station Road towards the LOCATION2 some of it is quite nice , especially around the train station"
general,696.0,Negative,LOCATION1,London rents are a rip off LOCATION1 is where I live
price,696.0,Negative,LOCATION1,London rents are a rip off LOCATION1 is where I live
transit-location,700.0,Positive,LOCATION1,I live in LOCATION1 which is in LOCATION2 there are lots of train links and buses which are regular and easily acessable
transit-location,700.0,Positive,LOCATION1,I live in LOCATION1 which is in LOCATION2 there are lots of train links and buses which are regular and easily acessable
general,701.0,Positive,LOCATION1,LOCATION1 is amazing but you need literally millions to live there aha
safety,704.0,Positive,LOCATION1,I have lived in LOCATION1 for 25 years and it 's now one the most safest places to live
